Nome;Estado;NAlunos;NotaPT;NotaRed;NotaMat;NotaCH;NotaCN
Escola42;AC;269;478.8;435.69;430.97;514.69;456.67
Escola43;AC;188;479.86;419.89;430.27;515.21;457.21
Escola44;AC;269;491.57;455.61;439.06;522.21;460.14
Escola45;AC;221;488.48;430.5;441.4;527.64;466.86
Escola46;AC;62;466.09;382.58;401.21;497.44;430.75
Escola47;AC;151;466.67;394.17;419.11;505.54;449.27
Escola48;AC;170;477.57;423.06;424.08;517.22;457.83
Escola49;AC;27;548.69;591.11;514.32;587.26;528.37
Escola50;AC;12;530.72;526.67;499.87;568.78;466.01
Escola51;AC;34;533.37;556.47;481.59;568.45;503.04
Escola52;AC;145;557.31;623.45;560.09;602.47;547.76
Escola53;AC;65;531.29;554.15;494.76;571.3;503.77
Escola54;AC;14;520.51;604.29;484.52;535.15;471.94
Escola55;AC;28;527.5;515;478.15;565.19;517.66
Escola56;AC;35;509.88;546.29;492.61;571.48;512.31
Escola57;AC;47;559.51;594.89;520.74;596.16;523.66
Escola58;AC;58;517.46;505.17;483.7;551.71;499.01
Escola59;AC;42;585.95;672.86;617.61;638.99;588.75
Escola60;AC;28;563.9;590;591.24;616.22;561.78
Escola61;AC;37;590.69;702.43;599.21;639.73;591.95
Escola62;AC;65;438.89;295.08;400.04;491.13;441.03
Escola63;AC;23;445.67;247.83;394.51;480.54;433.78
Escola64;AC;23;490.53;469.57;436.03;532.2;463.45
Escola65;AC;131;481.48;421.95;433.37;516.41;459.85
Escola66;AC;16;422.01;280;403.59;477.91;414.28
Escola67;AC;53;441.22;328.3;421.96;488.01;452.31
Escola68;AC;27;502.97;493.33;456.05;554.96;496.01
Escola69;AL;224;485.4;458.39;438.8;522.5;464.41
Escola70;AL;47;463.43;397.45;417.66;515.18;453.91
Escola71;AL;32;481.33;448.75;424.33;519.3;447.89
Escola72;AL;170;482.76;444.24;436.29;515.67;455.62
Escola73;AL;39;462.14;389.23;409.92;501.36;445.38
Escola74;AL;67;490.02;486.27;439.41;528.46;463.27
Escola75;AL;141;485;422.7;430.79;513.61;454.06
Escola76;AL;332;492.04;490.3;450.9;529.6;470.7
Escola77;AL;117;462.79;414.31;421.84;504.31;451.5
Escola78;AL;123;544.84;591.54;527.31;587.6;514.55
Escola79;AL;98;520.29;533.06;473.02;552.11;490.82
Escola80;AL;62;552.25;603.87;523.37;583.25;523.77
Escola81;AL;28;523.05;466.43;482.36;555.01;490.6
Escola82;AL;79;553.43;637.97;541.59;603.02;530.32
Escola83;AL;102;555.31;618.63;522.68;592.66;524.07
Escola84;AL;29;524.48;583.45;498.73;556.09;532.71
Escola85;AL;40;552.1;594;514.96;574.38;520.45
Escola86;AL;33;532.38;611.52;503.89;566.39;495.71
Escola87;AL;32;487.28;495;455.27;522.39;461.89
Escola88;AL;33;567.16;649.7;574.14;600.12;553.18
Escola89;AL;35;520.62;539.43;509.92;557.28;508.28
Escola90;AL;20;557.6;592;523.61;587.62;537.61
Escola91;AL;42;520.89;528.1;483.77;543.91;488.12
Escola92;AL;26;548.66;606.92;500.28;571.8;491.78
Escola93;AL;48;447.18;367.92;411.71;487.97;442.63
Escola94;AL;10;513.27;420;460.35;520.93;497.31
Escola95;AL;60;454.22;376.67;395;492.72;431.46
Escola96;AL;86;484.75;452.33;440.29;524.12;462.37
Escola97;AL;73;484.56;452.05;423.08;516.84;452.51
Escola98;AL;20;519.38;534;449.9;554.23;482.49
Escola99;AL;36;471.07;375;426.89;498.69;458.81
Escola100;AL;180;486.08;433;450.53;519.81;453.08
Escola101;AL;23;540.99;586.09;530.79;574.79;531.7
Escola102;AL;26;519.69;554.62;471.82;536.48;475.88
Escola103;AL;16;518.32;572.19;475.94;567.73;515.17
Escola104;AL;88;467.47;367.23;431.26;502.27;455.31
Escola105;AL;137;449.5;367.59;406.63;497.05;451.9
Escola106;AL;28;507.34;530;459.09;546.91;495.49
Escola107;AL;13;484.47;567.69;489.55;527.88;468.66
Escola108;AL;30;456.03;333.33;432;483.82;445.16
Escola109;AL;33;450.32;360.61;411.93;480.54;458.68
Escola110;AL;204;484.53;484.12;446.29;524.45;470.26
Escola111;AL;112;457.29;373.21;424.25;495.32;448.27
Escola112;AL;199;477.97;426.33;427.78;511.41;454.76
Escola113;AL;55;482.87;456.36;438.68;522.09;460.09
Escola114;AL;94;481.45;483.62;435.63;531.21;456.96
Escola115;AL;53;471.22;410.19;418.04;498.85;456.77
Escola116;AL;34;485.72;418.82;432.61;501.7;448.66
Escola117;AL;56;470.99;403.93;434.92;495.26;447.15
Escola118;AL;50;500.57;446.4;432.66;531.2;460.47
Escola119;AL;12;500.72;446.67;453.83;539.78;453.17
Escola120;AL;82;456.93;347.56;410.74;505.46;447.17
Escola121;AL;29;493.67;440;439.89;525.92;460.48
Escola122;AL;18;508.02;448.89;468.1;538.69;464.55
Escola123;AL;160;478.21;416.5;424.2;510.68;453.51
Escola124;AL;124;478.93;423.55;430.6;510.88;447.96
Escola125;AL;45;482.2;443.56;419.33;519.04;448.52
Escola126;AL;41;471.74;473.17;447.85;512.71;454.71
Escola127;AL;29;457.52;453.1;421.7;498.67;449.61
Escola128;AL;20;475.47;360;419.19;504.1;455.95
Escola129;AL;305;485.51;451.05;430.39;521.65;457.72
Escola130;AL;73;479.95;457.53;459.37;529.14;472.78
Escola131;AL;30;493.09;455.33;444.85;535.92;461.67
Escola132;AL;62;475.92;435.48;437.25;516.74;447.24
Escola133;AL;67;478.19;502.09;442.87;521.41;462.18
Escola134;AL;55;473.87;422.91;448.94;502.4;457.53
Escola135;AL;33;491.75;468.48;446.49;532.92;469.08
Escola136;AL;47;477.33;471.06;418.78;514.81;441.46
Escola137;AL;21;487.62;450.33;428.6;521.42;448.49
Escola138;AL;17;451.84;340;441.2;513.62;452.62
Escola139;AL;69;522.97;582.9;502.84;561.7;497.16
Escola140;AL;59;474.37;407.12;431;505.88;450.52
Escola141;AL;120;466.65;421.49;418.24;508.5;457.05
Escola142;AL;80;490.2;472.75;432.69;528.6;452.76
Escola143;AL;147;466.22;420.27;422.26;504.24;451.47
Escola144;AL;140;486.36;442;425.44;514.42;448.98
Escola145;AL;33;516.97;524.85;446.08;547.9;468.99
Escola146;AL;286;541.68;598.32;551.76;590.28;533.18
Escola147;AL;27;580.99;666.67;584.81;620;557.79
Escola148;AL;113;529.94;609.73;506.98;571.53;509.53
Escola149;AL;53;555.21;580.38;520.62;588.6;527.26
Escola150;AL;65;551.08;627.23;584.12;595.39;544.91
Escola151;AL;25;520.77;505.6;470.86;551.3;487.25
Escola152;AL;22;573.63;656.36;584.6;610.25;569.7
Escola153;AL;165;578.19;684.58;607.92;613.59;570.3
Escola154;AL;49;545.4;582.45;527.18;589.78;513.03
Escola155;AL;51;517.55;557.25;472.56;560.57;492.48
Escola156;AL;72;517.74;570.28;480.89;548.77;493.66
Escola157;AL;29;492.11;544.14;468.4;532.84;487.52
Escola158;AL;90;492.17;475.78;448.86;523.03;467.16
Escola159;AL;94;531.49;558.3;478.96;564.9;502.13
Escola160;AL;11;515.97;443.64;462.91;536.91;488.11
Escola161;AL;47;542.27;604.68;507.85;581.07;506.49
Escola162;AL;33;493.85;484.24;455.83;524.88;447.98
Escola163;AL;29;513.28;581.38;477.34;548.22;494.88
Escola164;AL;10;488.65;386;445.44;506.79;467.59
Escola165;AL;13;526.78;532.31;504.1;564.01;466.77
Escola166;AL;16;469.58;545;467.04;520.76;482.94
Escola167;AL;27;518.83;548.89;464.66;559.24;491.49
Escola168;AL;109;532.86;552;475.67;570.46;501.83
Escola169;AL;27;536.09;556.3;535.73;567.89;518.35
Escola170;AL;45;495.01;467.11;439.82;525.67;459.81
Escola171;AL;64;500.02;504.38;442.73;526.96;476.89
Escola172;AL;58;534.52;583.79;534.37;559.74;514.3
Escola173;AL;73;508.6;520;472.15;530.64;468.3
Escola174;AL;31;539.36;625.16;514.58;587.53;521.42
Escola175;AL;25;488.7;434.4;423.54;524.81;464.72
Escola176;AL;24;527.63;554.17;485.76;555.76;483.7
Escola177;AL;38;529.07;546.84;505.38;568.74;513.43
Escola178;AL;115;576.08;673.74;634.15;626.53;587.71
Escola179;AL;78;548.26;593.85;523.03;576.55;507.21
Escola180;AL;86;582.26;674.8;648.48;629.76;592.98
Escola181;AL;319;586.62;677.18;635.1;628.95;579.98
Escola182;AL;43;493.75;453.95;452.06;526.81;468.82
Escola183;AL;35;543.66;633.71;484.58;565.67;532.23
Escola184;AL;16;502.6;523.75;461.53;538.76;477.48
Escola185;AL;60;516.61;569.78;499.69;569;505.08
Escola186;AL;62;555.71;594.84;530.65;597.21;533.49
Escola187;AL;40;501.86;559.5;441.99;545.06;469.41
Escola188;AL;67;516.19;573.13;472.66;554.92;500.44
Escola189;AL;27;529.29;501.48;488.26;552.3;491.69
Escola190;AL;42;526.15;549.52;485.19;557.03;496.81
Escola191;AL;88;521.04;575.91;486.86;570.68;497.21
Escola192;AL;21;504.3;519.05;503.48;527.09;488.8
Escola193;AL;40;538.47;632.5;522.48;571.74;519.33
Escola194;AL;13;487.62;555.38;424.72;561.93;454.54
Escola195;AL;35;564.64;654.29;534.91;614.42;548.91
Escola196;AL;110;525.17;589.45;495.39;557.89;512.58
Escola197;AL;15;488.21;444;439.21;520.28;455.69
Escola198;AL;16;551.59;667.5;499.24;573.02;497.29
Escola199;AL;36;503.14;536.67;449.1;520.1;453.98
Escola200;AL;20;518.26;537;441.83;547.9;503.74
Escola201;AL;26;564.47;608.46;625.09;612.88;577.97
Escola202;AL;34;511.7;527.65;458.59;547.04;488.24
Escola203;AL;36;523.19;521.11;474.7;536.52;489.56
Escola204;AL;49;518.57;588.57;520.59;574.53;503.92
Escola205;AL;45;508.94;472.44;448.04;543.2;482.07
Escola206;AL;43;495.47;498.14;460.74;513.08;470.17
Escola207;AL;37;501.28;519.46;462.68;526.5;479.59
Escola208;AL;13;492.36;570.77;434.88;523.22;479.68
Escola209;AL;55;499.19;524.73;485.21;560.49;499.59
Escola210;AL;27;550.14;587.41;525.8;597.05;550.25
Escola211;AL;52;523.13;518.46;467.56;562.79;508.22
Escola212;AL;26;493.55;530.77;425.62;513.54;465.27
Escola213;AL;28;459.55;398.57;424.27;490.82;451.2
Escola214;AL;112;545.91;597.32;546.13;594.12;529.03
Escola215;AL;55;516.99;575.27;464.13;565.37;493.23
Escola216;AL;15;526.2;610.67;447.5;534.91;482.53
Escola217;AL;34;506.38;482.35;432.53;513.16;468.71
Escola218;AL;81;497.58;491.85;443.96;532.04;474.97
Escola219;AL;49;425.02;348.98;397.54;458.64;428.01
Escola220;AL;20;505.63;541;450.44;546.54;477.6
Escola221;AL;37;463.56;432.43;416.43;499.82;438.72
Escola222;AL;38;450.91;418.82;412.49;493.23;441.75
Escola223;AL;58;529.94;537.93;507.18;577.01;521.49
Escola224;AL;33;514.1;563.64;486.9;548.43;502.23
Escola225;AL;16;549.35;588.75;553.81;578.43;540.92
Escola226;AL;14;495.84;411.43;431.07;507.11;447.41
Escola227;AL;13;488.13;516.92;479.65;543.89;515.95
Escola228;AL;18;488.96;480;470.51;529.83;500.54
Escola229;AL;12;444.48;411.67;430.34;495.26;420.11
Escola230;AL;27;480.77;437.78;425.82;523.81;480.8
Escola231;AL;15;462.49;478.67;423.52;501.57;439.13
Escola232;AL;20;433.73;381;397.65;472.66;428.39
Escola233;AL;62;498.12;492.9;461.35;532.48;494.43
Escola234;AL;84;488.02;467.38;425.6;512.53;459.17
Escola235;AL;57;493.52;472.98;431.79;521.04;442.82
Escola236;AL;88;475.01;413.64;427.51;511.53;438.59
Escola237;AL;28;543.42;608.57;554.43;588.73;538.17
Escola238;AL;14;522.85;554.29;463.11;539.84;466.83
Escola239;AL;18;519.62;560;468.59;554.32;496.32
Escola240;AL;97;466.22;430.72;429.55;511.38;448.46
Escola241;AL;41;524.78;509.27;471.64;565.4;513.74
Escola242;AL;21;520.61;499.05;488.38;552.46;478.12
Escola243;AL;62;528.19;557.42;484.2;556.57;490.81
Escola244;AL;41;491.59;475.78;435.28;529.12;463.33
Escola245;AL;25;510.08;480;435.34;548.86;481.06
Escola246;AL;218;462.7;365.14;420.78;501.26;445
Escola247;AL;115;482.75;460.35;426.7;508.6;447.43
Escola248;AL;35;532.19;564;531.1;569.05;539.26
Escola249;AL;49;507.99;517.96;450.86;537.04;481.22
Escola250;AL;120;475.41;391.33;425.77;506.01;463.06
Escola251;AL;117;512.01;541.88;491.64;566.71;509.33
Escola252;AL;138;483.93;441.3;431.23;514.02;458.29
Escola253;AL;145;493.1;445.66;425.05;517.1;460.51
Escola254;AL;171;466.66;422.22;430.11;502.77;453.13
Escola255;AL;26;534.79;570;529.77;575.72;534.48
Escola256;AL;26;514.12;551.54;459.37;555.08;493.74
Escola257;AL;33;509.84;598.79;471.06;557.13;493.06
Escola258;AL;25;517.91;595.28;467.07;554.56;481.49
Escola259;AM;72;453.4;320.28;398.07;491.66;441.69
Escola260;AM;13;430.95;383.08;408.72;496.96;425.36
Escola261;AM;74;464.21;401.08;401.77;500.03;437.39
Escola262;AM;71;481.52;389.58;435.97;513.82;466.89
Escola263;AM;54;480.21;444.81;442.18;523.53;455.73
Escola264;AM;19;439.96;355.79;423.64;490.71;439.79
Escola265;AM;30;434.72;283.33;399.11;473.17;439.83
Escola266;AM;184;448.85;378.48;406.52;493.09;436.98
Escola267;AM;86;442.42;395.58;397.74;490.49;433.25
Escola268;AM;71;474.86;440.56;425.42;495.21;439.99
Escola269;AM;69;453.39;375.94;426.73;499.61;447.98
Escola270;AM;20;401.14;248;398.92;451.66;423.96
Escola271;AM;37;448.66;312.43;402.37;505.27;436.5
Escola272;AM;98;473.13;428.57;420.57;516.55;454.3
Escola273;AM;15;455.69;474.67;417.54;514.22;417.67
Escola274;AM;21;423.98;313.33;403.61;475.93;427.58
Escola275;AM;187;468.67;441.29;414.7;512.92;457.71
Escola276;AM;96;442.89;340;407.38;481.34;433.9
Escola277;AM;64;441.43;365.63;410.43;500.72;434.07
Escola278;AM;76;502.75;530.79;434.51;538.09;459.17
Escola279;AM;95;469.83;427.16;438.95;507.59;454.33
Escola280;AM;126;449.29;348.25;405.2;491.32;427.34
Escola281;AM;59;473.6;427.12;423.96;528.58;449.45
Escola282;AM;61;486.74;403.61;437.06;524.63;451.99
Escola283;AM;207;507.19;522.13;441.86;538.91;474.05
Escola284;AM;140;467.99;414.14;408.36;505.6;447.31
Escola285;AM;18;530.87;571.11;521.89;590.29;539.93
Escola286;AM;48;487.32;462.92;465.96;534.14;464.38
Escola287;AM;13;427.35;266.15;428.58;471;441.46
Escola288;AM;283;470.01;437.1;430.34;506.87;448
Escola289;AM;381;518.68;538.69;451.69;541.82;469.75
Escola290;AM;182;508.14;511.98;455.12;539.43;464.77
Escola291;AM;172;543.46;584.07;509.54;587.07;523.32
Escola292;AM;26;474.71;480.77;432.51;520.19;454.23
Escola293;AM;135;465.82;406.25;422.75;507.3;441.1
Escola294;AM;172;496.68;502.33;437.06;528.4;454.4
Escola295;AM;125;464.99;426.56;419.15;498.63;438.01
Escola296;AM;45;474.85;411.56;430.71;496.36;425.53
Escola297;AM;48;482.68;440.83;423.47;512.3;434.55
Escola298;AM;102;482.06;477.84;432.62;519.09;453.66
Escola299;AM;252;489.96;457.46;430.91;523.15;453.03
Escola300;AM;211;474.63;440.74;426.34;515.31;455.57
Escola301;AM;158;484.68;431.01;430.52;527.48;444.45
Escola302;AM;295;490.87;462.91;437.64;521.79;458.72
Escola303;AM;158;481.53;413.04;434.21;511.7;446.01
Escola304;AM;211;478.57;461.71;428.06;521.15;450.63
Escola305;AM;283;512.37;548.48;451.6;544.8;482.6
Escola306;AM;433;485.41;460.18;431.9;521.56;453.72
Escola307;AM;159;477.1;433.71;425.16;509.88;446.53
Escola308;AM;97;495.53;480.41;442.52;526.75;461.63
Escola309;AM;152;462.39;409.61;423.77;501.55;440.5
Escola310;AM;115;475.69;414.26;436.42;514.29;452.05
Escola311;AM;106;489.48;436.58;436.07;520.02;455.62
Escola312;AM;188;478.38;454.57;425.35;511.72;448.1
Escola313;AM;138;473.63;460.29;423.5;523.89;448.47
Escola314;AM;256;468.42;418.36;416.51;511.95;444.52
Escola315;AM;130;509.64;486;443.89;541.96;470.83
Escola316;AM;40;485.4;436.5;410.1;505.96;445.85
Escola317;AM;377;503.59;505.52;453.76;537.13;479.12
Escola318;AM;226;474.07;431.42;424.56;509.99;444.87
Escola319;AM;205;468.89;432.2;425.66;503.1;444.87
Escola320;AM;336;478.73;442.26;432.34;515.01;450.02
Escola321;AM;205;469.33;414.05;427.49;516.76;446.3
Escola322;AM;234;487.84;468.8;432.29;522.49;450.2
Escola323;AM;95;496.95;483.16;436;532.07;462.15
Escola324;AM;386;483.79;450.21;434.57;518.65;455.41
Escola325;AM;197;529.29;618.17;465.4;566.28;495.22
Escola326;AM;234;503.01;491.03;445.44;530.99;458.41
Escola327;AM;121;488.94;524.63;444.75;533.74;476.57
Escola328;AM;376;498.05;508.83;442.45;530.92;457.53
Escola329;AM;246;471.48;410.98;414.54;513.31;444.9
Escola330;AM;108;521.75;546.48;488.26;571.33;500.8
Escola331;AM;153;472.39;443.82;421.6;504.15;449.52
Escola332;AM;143;488.26;483.64;427.88;528.58;453.1
Escola333;AM;264;489.44;448.86;429.62;521.8;452.64
Escola334;AM;572;488.02;451.22;427.51;521.52;453.48
Escola335;AM;163;490.87;467.48;436.49;523.65;458.15
Escola336;AM;28;504.87;526.43;454.9;552.98;472.92
Escola337;AM;215;485.74;486.33;429.12;520.85;458.25
Escola338;AM;64;533.63;617.5;528.17;579.04;513.49
Escola339;AM;24;496.53;516.67;453.5;532.6;469.2
Escola340;AM;50;488.46;545.2;445.89;531.39;489
Escola341;AM;17;444.42;337.65;420.22;497.54;452.19
Escola342;AM;136;583.81;649.56;610.5;627.33;575.29
Escola343;AM;88;517.29;518.41;446.91;550.68;479.42
Escola344;AM;161;565.36;624.47;584.27;613.6;554.59
Escola345;AM;118;545.66;614.79;603.04;599.39;541.71
Escola346;AM;59;563.11;608.81;571.09;610.56;549.08
Escola347;AM;38;545.03;568.95;533.92;584.24;518.88
Escola348;AM;12;545.81;565;482.99;555.98;478.28
Escola349;AM;14;541.71;574.29;442.46;581.29;508.15
Escola350;AM;30;534.04;551.33;476.34;572.84;494.15
Escola351;AM;111;614.26;735.32;702.01;664.73;628.87
Escola352;AM;43;508.11;569.3;454.44;547.89;481.04
Escola353;AM;52;501.01;460.38;446.72;516.33;466.82
Escola354;AM;50;564.71;614.4;579.62;622.14;586.46
Escola355;AM;241;548.47;608.13;544.31;591.92;527.9
Escola356;AM;23;488.43;450.43;463.96;528.52;449.88
Escola357;AM;59;522.89;550.17;478.08;551.6;473.94
Escola358;AM;10;527.23;506;435.3;541.93;474.24
Escola359;AM;39;540.14;582.56;486.81;582.28;508.35
Escola360;AM;68;567.78;628.53;525.81;608.92;535.97
Escola361;AM;100;536.57;602;521.69;583.43;526.24
Escola362;AM;29;556.06;627.59;526.46;603.69;537.16
Escola363;AM;66;536.31;580.61;508.91;572.36;509.88
Escola364;AM;39;517.6;512.31;456.59;571.5;484.02
Escola365;AM;14;513.91;574.29;476.36;561.81;463.66
Escola366;AM;103;591.24;690.49;704.99;655.26;601.33
Escola367;AM;90;522.7;556.67;468.51;563.65;497.63
Escola368;AM;56;539.68;609.64;532.09;590.81;537.64
Escola369;AM;46;529.59;527.83;467.48;558.81;481.95
Escola370;AM;25;620.85;753;706.67;668.5;649.34
Escola371;AM;49;542.64;590.2;508.41;582.21;513.58
Escola372;AM;80;599.07;730.25;655.23;654.8;614.79
Escola373;AM;88;528.62;580.91;485.84;581;525.99
Escola374;AM;60;507.17;515.33;475.93;551.32;475.47
Escola375;AM;15;507.75;558.67;438.31;528.27;467.59
Escola376;AM;85;532.65;542.82;472.78;571.6;483.07
Escola377;AM;24;504.98;549.17;446.1;543.63;475.75
Escola378;AM;35;514.18;549.71;430.37;551.52;478.16
Escola379;AM;50;507.41;482.8;456.85;547.88;464.28
Escola380;AM;13;517.88;506.15;484.04;571.28;489.68
Escola381;AM;42;544.39;579.05;491.84;580.59;507.06
Escola382;AM;255;559.51;635.31;540.01;607.8;536.74
Escola383;AM;80;568.3;625.11;583.64;613.66;558.46
Escola384;AM;163;582.26;696.2;604.09;627.9;591.58
Escola385;AM;73;478.08;477.81;438.82;517.09;462.35
Escola386;AM;65;473.03;449.54;429.91;505.24;449.74
Escola387;AM;68;521.74;576.47;457.36;565.78;483.16
Escola388;AM;90;446.66;374.22;409.4;499.7;441.98
Escola389;AM;189;457.05;377.67;412.64;494.52;444.95
Escola390;AM;101;462.83;424.95;416.89;511.42;446.49
Escola391;AM;44;444.19;344.09;426.76;498.58;444.02
Escola392;AM;57;443.1;385.26;405;493.34;436.97
Escola393;AM;119;491.6;483.7;427.64;532.82;456.92
Escola394;AM;170;460.75;377.71;408.53;495.19;431.96
Escola395;AM;202;490.57;474.9;433.2;533.02;461.63
Escola396;AM;120;495.75;485;442.84;536.82;467.52
Escola397;AM;41;493.78;508.78;423.54;541.2;461.09
Escola398;AM;135;449.38;375.26;400.33;498.26;439.66
Escola399;AM;169;453.75;404.38;409.19;496.05;435.95
Escola400;AM;59;507.33;552.54;475.1;539.89;492.03
Escola401;AM;22;432.52;353.64;425.54;450.93;423.75
Escola402;AM;100;466.66;407;420.26;509.73;450.6
Escola403;AM;53;510.72;515.09;459.44;544.86;480.58
Escola404;AM;25;528.07;563.2;467.67;573.66;492.55
Escola405;AM;15;452.95;417.33;404.55;499.24;458.31
Escola406;AM;58;450.87;414.48;411.14;488.6;438.46
Escola407;AM;67;469.53;420.6;430.81;502.05;459.07
Escola408;AM;41;425.24;325.37;394.48;456.59;430.64
Escola409;AM;78;466.76;454.1;429.28;520.97;463.89
Escola410;AM;114;442.44;374.04;412.03;484.3;440.66
Escola411;AM;57;459.13;342.11;403.4;500.82;439.78
Escola412;AM;86;437.16;322.79;405.46;478.33;432.75
Escola413;AM;71;501.58;513.52;447.11;536.58;469.76
Escola414;AM;105;456.17;428.95;412.11;486.11;433.67
Escola415;AM;214;489.7;529.72;426.76;525.3;462.97
Escola416;AM;110;456.33;417.64;416.1;500.48;446.47
Escola417;AM;100;459.36;388.4;421.09;505.7;440.06
Escola418;AM;34;477.74;481.18;405.5;507.16;441.74
Escola419;AM;66;431.06;386.36;387.66;476.53;426.64
Escola420;AM;96;446.48;345.63;407.38;487.85;434.55
Escola421;AP;76;435.25;307.89;399.46;477.08;434.4
Escola422;AP;54;434.68;305.56;407.57;480.3;427.23
Escola423;AP;52;449.07;357.69;406.28;496.92;446.27
Escola424;AP;165;467.77;386.55;412.26;499.56;445.69
Escola425;AP;58;538.66;601.38;500.25;589.67;525.78
Escola426;AP;10;419.02;310;374.31;456.93;434.48
Escola427;AP;31;436.08;313.55;416.77;486.54;426.44
Escola428;AP;233;487.69;456.48;431.2;513.64;459.88
Escola429;AP;427;487.14;451.52;429.81;527.43;466.02
Escola430;AP;449;501.51;496.08;439.62;534;465.17
Escola431;AP;76;468.53;384.47;407.05;495.72;449.92
Escola432;AP;35;471.51;442.29;427.43;493.81;449.8
Escola433;AP;92;455.73;338.48;418.6;497.19;445.22
Escola434;AP;112;479.53;462.86;422.19;511.4;451.61
Escola435;AP;46;483.43;468.26;411.1;505.19;458.21
Escola436;AP;441;500.56;508.23;445.2;535.9;475.54
Escola437;AP;36;484.27;454.44;406.88;528.03;457.93
Escola438;AP;106;487.38;419.06;433.55;527.61;462.82
Escola439;AP;80;473.43;435.75;424.16;503.43;455.26
Escola440;AP;77;474;402.08;416.34;511;454.43
Escola441;AP;48;470.14;472.92;407.89;512.2;456.4
Escola442;AP;48;465.12;406.25;417.8;494.24;436.06
Escola443;AP;30;501.64;479.33;434.81;516.72;455.75
Escola444;AP;267;483.12;402.55;425.63;511.82;448.07
Escola445;AP;185;475.24;415.89;422.17;513.21;450.52
Escola446;AP;93;477.48;430.11;407.04;513.93;454.95
Escola447;AP;49;455.86;364.08;397.43;491.04;429.77
Escola448;AP;62;474.26;432.26;413.58;503.52;457.14
Escola449;AP;106;463.25;391.89;417.33;501.44;435.83
Escola450;AP;68;500.08;448.82;421.41;525;473.97
Escola451;AP;74;471.65;399.46;416.03;507.95;461.18
Escola452;AP;102;458.8;357.44;407.24;491.27;441.66
Escola453;AP;96;555.17;594.38;536.55;597.87;520.81
Escola454;AP;109;549.31;617.43;504.19;597.49;530.05
Escola455;AP;121;544.72;604.63;508.18;589.08;525.91
Escola456;AP;79;575.51;682.78;556.67;615.81;552.54
Escola457;AP;57;515.76;516.49;467.25;537.38;494.69
Escola458;AP;11;535.03;536.36;440.73;561.55;483.73
Escola459;AP;21;520.92;621.9;481.78;571.44;495.5
Escola460;AP;159;541.66;613.33;509.51;587.39;527.2
Escola461;AP;36;518.58;567.22;476.06;568.23;492.4
Escola462;AP;54;522.45;570;486.1;564.69;486.14
Escola463;AP;108;549.01;628.15;496.36;595.57;525.31
Escola464;AP;13;417.72;318.46;393.02;456.92;414.98
Escola465;AP;45;463.92;408.44;418.56;518.75;445.5
Escola466;AP;147;469.87;393.33;408.14;506.78;446.02
Escola467;AP;76;442.32;358.42;411.12;489.67;446.87
